"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 14 14:29:34 IST 2024","Tue May 14 14:29:47 IST 2024","13021","validate_worktemplate_addmodifydelete_administrationmenu","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu.WorkTemplateModify","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu.WorkTemplateModify","workTemplateModify","Modify the WorkTemplate DefineDayType and validate if it has been successfully Modified.","Modify the WorkTemplate DefineDayType and validate if it has been successfully Modified."
"passed","Tue May 14 14:33:05 IST 2024","Tue May 14 14:33:14 IST 2024","8720","validate_worktemplate_addmodifydelete_administrationmenu","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu.EmptyDayTypeAndAliasValidation","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu.EmptyDayTypeAndAliasValidation","emptyDayTypeAndAliasValidation","Data validation for the Supergroup table in Excel.","Data validation for the Supergroup table in Excel"
"passed","Wed May 15 17:02:34 IST 2024","Wed May 15 17:02:46 IST 2024","11704","net.testcases_worktimemodule.AuditTrailTabValidationWrokTimeAdministrationMenu","net.testcases_worktimemodule.AuditTrailTabValidationWrokTimeAdministrationMenu","net.testcases_worktimemodule.AuditTrailTabValidationWrokTimeAdministrationMenu.ValidateActionDeleteAuditTrail","net.testcases_worktimemodule.AuditTrailTabValidationWrokTimeAdministrationMenu.ValidateActionDeleteAuditTrail","actionDelete","Audit Trail actionDelete.","Audit Trail actionDelete."
"passed","Tue May 14 15:09:35 IST 2024","Tue May 14 15:10:04 IST 2024","28958","usergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql","net.testcases_worktimemodule.usergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql","net.testcases_worktimemodule.usergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql.UserGroupBulkUploadDeleteMysql","net.testcases_worktimemodule.usergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql.UserGroupBulkUploadDeleteMysql","deleteUserGroupInMysql","Delete the UserGroup and validate whether it has been successfully Deleted through BulkUpload.","Delete the UserGroup and validate whether it has been successfully Deleted through BulkUpload."
"passed","Tue May 14 15:07:07 IST 2024","Tue May 14 15:07:27 IST 2024","19917","usergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql","net.testcases_worktimemodule.usergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql","net.testcases_worktimemodule.usergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql.ModifyUserGroupInMysql","net.testcases_worktimemodule.usergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql.ModifyUserGroupInMysql","modifyUserGroupInMysql","Modify the UserGroup and validate if it has been successfully Modified.","Modify the UserGroup and validate if it has been successfully Modified."
"passed","Wed May 15 15:39:33 IST 2024","Wed May 15 15:39:43 IST 2024","10454","net.testcases_wrokflowmodule.validate_customattribute_bulkupload","net.testcases_wrokflowmodule.validate_customattribute_bulkupload","net.testcases_wrokflowmodule.validate_customattribute_bulkupload.CustomAttributeWithMissingField","net.testcases_wrokflowmodule.validate_customattribute_bulkupload.CustomAttributeWithMissingField","customAttributeWithMissingField","Custom Attribute With Missing Field","Custom Attribute With Missing Field"
"passed","Wed May 15 12:27:16 IST 2024","Wed May 15 12:27:40 IST 2024","24336","Suite","chrome","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolePDFValidation","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolePDFValidation","userRolePDFValidation","userRolePDFValidation","Test Description: In This test case we are downloading the excel and validating few data "
"passed","Wed May 15 10:41:13 IST 2024","Wed May 15 10:41:20 IST 2024","7164","net.testcases_worktimemodule.BusinessHierarchy","net.testcases_worktimemodule.BusinessHierarchy","net.testcases_worktimemodule.BusinessHierarchy.HierarchyStructurePdfExport","net.testcases_worktimemodule.BusinessHierarchy.HierarchyStructurePdfExport","hierarchyStructurePdfExport","Hierarchy Structure PdfExport","Hierarchy Structure PdfExport"
"passed","Wed May 15 12:29:35 IST 2024","Wed May 15 12:30:25 IST 2024","49901","Suite","chrome","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesBulkUpdateMember","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesBulkUpdateMember","userRolesBulkUpdateMember","userRolesBulkUpdateMember","Test Description: Here we are verifying the bulk update done in user role member "
"passed","Tue May 14 17:53:52 IST 2024","Tue May 14 17:54:05 IST 2024","12862","softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.SoftwareDefinitionForSoftwareTagsPdf","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.SoftwareDefinitionForSoftwareTagsPdf","softwareDefinitationForSoftwareTagsCURD","Software Definition For SoftwareTags Pdf","Software Definition For SoftwareTags Pdf"
